"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"8","0","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"64","28","4","13","1","0","0","0.68020579","1","65","0","1","6.690386418","4","50","0","0.534695898","0"
"712","344","12","269","1","0","0","0.535310541","1","9","0","1","6.020657026","1","58","0","0.465685076","0"
"208","88","16","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"296","144","4","121","1","0","0","0.594795746","1","16","0","1","6.941412879","1","56","0","0.56367314","0"
"144","72","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"272","124","12","107","1","0","0","0.490241016","1","9","0","1","6.020657026","1","58","0","0.409701686","0"
"224","92","20","35","1","0","0","0.561161231","1","30","0","1","5.764625638","1","54","0","0.472549336","0"
"144","68","4","65","1","0","0","0.586182008","1","17","0","1","6.945676176","1","51","1","0.56292707","0"
"48","24","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"168","84","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"24","12","0","11","1","0","0","0.55719691","1","9","0","1","6.775736782","1","55","0","0.507002604","0"
"72","36","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"120","60","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"56","24","4","11","1","0","0","0.554949186","1","30","0","1","7.053032066","4","49","0","0.467227513","0"
"96","48","0","43","1","0","0","0.500758889","1","4","0","1","6.978743441","11","52","0","0.473542652","0"
"136","68","0","19","1","0","0","0.489247144","1","4","0","1","6.838526149","11","51","0","0.465685076","0"
"336","80","88","89","1","0","0","0.420119657","1","32","0","1","7.24079291","4","51","0","0.359142573","0"
"608","164","140","91","1","0","0","0.567284941","1","35","0","1","7.24079291","4","51","0","0.548620521","0"
"136","64","4","21","0","0","0","0.493068602","1","18","0","1","7.10353474","0","53","0","0.415607877","0"
"256","124","4","49","0","0","0","0.50728603","1","19","0","1","6.581379398","0","49","0","0.475363766","0"
"64","28","0","7","1","0","0","0.5572715","1","15","0","1","7.746630797","4","55","0","0.530376285","0"
"184","88","4","61","1","0","0","0.692048607","1","65","0","1","6.106261565","3","47","0","0.485022501","0"
"200","84","16","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"296","132","16","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"32","16","0","0","1","0","0","0.586866601","1","28","0","1","7.021704116","3","50","0","0.511194069","0"
"152","76","0","67","1","0","0","0.511673474","1","37","0","1","6.808073434","11","52","0","0.493549301","0"
"296","148","0","63","1","0","0","0.507457609","1","37","0","1","6.808073434","11","52","0","0.455296414","0"
"328","164","0","63","1","0","0","0.507457609","1","37","0","1","6.808073434","11","52","0","0.455296414","0"
"552","276","0","83","1","0","0","0.486131178","1","4","0","1","6.808073434","11","53","0","0.467000877","0"
"560","276","4","83","1","0","0","0.486131178","1","4","0","1","6.808073434","11","53","0","0.467000877","0"
"48","24","0","15","1","0","0","0.678094008","1","65","0","1","-1","-1","50","1","0.460482033","0"
"4296","1012","1128","1075","1","0","0","0.451656378","1","32","0","1","6.67957412","4","56","1","0.344179293","0"
"696","344","0","245","1","0","0","0.537729927","1","15","0","1","5.511031801","4","53","0","0.512988722","0"
"184","92","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"152","72","4","63","1","0","0","0.535824039","1","30","0","1","7.025591092","4","51","0","0.435265906","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"88","44","0","43","1","0","0","0.56079352","1","9","0","1","6.618145454","2","55","0","0.529490802","0"
"1112","380","176","297","1","0","0","0.563497563","1","35","0","1","6.766843737","0","53","0","0.539490747","0"
"48","24","0","19","1","0","0","0.523338053","1","9","0","1","6.850023491","8","51","0","0.443324179","0"
"8","0","4","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"120","56","4","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"176","80","8","7","0","0","0","0.478488724","1","13","0","1","7.052375793","4","56","0","0.390241016","0"
"184","80","12","7","0","0","0","0.478488724","1","13","0","1","7.052375793","4","56","0","0.390241016","0"
"120","36","24","43","1","0","0","0.54821932","1","15","0","1","6.485341962","0","46","0","0.498737269","0"
"88","28","16","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"152","60","16","0","1","0","0","0.535536576","1","28","0","1","5.664100084","0","51","0","0.435265906","0"
"8","4","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"16","4","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"120","56","4","49","1","0","0","0.500283497","1","9","0","1","6.97619657","0","51","0","0.477883508","0"
"24","12","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"32","12","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"32","12","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"136","64","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"1268","124","508","296","1","0","0","0.536741452","1","12","1","1","-1","-1","50","0","0.458659392","0"
"1392","152","512","296","1","0","0","0.536741452","1","12","1","1","-1","-1","50","0","0.458659392","0"
